,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
160,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,Bose,5106719064682661,61,5601
161,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,Dr. Jart+,4279882358573367,21,2000
162,Подружка,"('59.9604693,30.3164542', '20:09')",Помада,Huda Beauty,5106804164477397,49,1301
163,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Парфюм,Nuxe,5106933901399033,89,299
164,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,GlamGlow,4272495588737251,27,401
165,Paper Shop,"('59.7933155,30.3309104', '13:56')",Ветровка,Tara Jarmon,5189917931280814,37,10500
166,Технопарк,"('59.90775075,30.32520831', '21:03')",Кондиционер,Eldorado,4279351860219161,56,8801
167,PiterGSM,"('59.9323949,30.3661284', '11:54')",Принтер,Barum,5106329433886893,27,6699
168,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Eve Lom,5469322393885441,77,199
169,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Линер,Morphe,4276362001115225,68,300
170,Отдел,"('60.04797585,30.26449915', '13:07')",Жилет,Hobbs,5106130900199843,38,105
171,Гум,"('59.9937587,30.1931236', '19:11')",Блузка,DL1961,5404825102034112,10,1601
172,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Консилер,Peter Thomas Roth,4279982684694570,78,5
173,Code7,"('59.9595411,30.3145212', '11:19')",Ветровка,Rick Owens,4274223868582475,68,8895
174,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,Haier,4272797500869468,79,11700
175,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Helmut Lang,4273720583831751,68,3095
176,Котофото,"('59.9252998,30.3170072', '16:42')",Принтер,Vivo,5106413605405301,18,5300
177,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Гель,Estée Lauder,4279334499372031,17,495
178,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Блеск,Benefit Cosmetics,4273789355248400,58,299
179,Subbota,"('59.9538908,30.296822', '14:00')",Плавки,Iro,4279877499956685,42,2105
180,Familia,"('59.92634555,30.32030116', '11:53')",Жилет,Chloe,5106596449106876,95,4900
181,Stokmann,"('59.9325138,30.3597223', '17:57')",Шапка,Equipment,4279639733859632,5,595
182,123.ru,"('59.90625125,29.70726325', '17:26')",Микроволновая печь,Grundig,4274958922229288,98,18100
183,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Guerlain,5106371761112718,17,201
184,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,Asus,4274746031310205,60,13495
185,Subbota,"('59.9538908,30.296822', '14:00')",Перчатки,Alexander McQueen,5106682068622555,29,1001
186,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,Creative,5106521213217934,39,101999
187,Fab Store,"('59.9302169,30.3246437', '11:30')",Плавки,Monsoon,5106694377855998,49,1599
188,Гум,"('59.9937587,30.1931236', '19:11')",Бикини,Frame,4272203093781750,8,3805
189,Эльдорадо,"('59.94584125,30.480875', '16:34')",Планшет,Cooper,4279619049787486,31,46705
190,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,EVGA,4279229090754352,83,500
191,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,Honor,4279859760999575,10,2505
192,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Гель,Herbivore,5106413572034801,60,401
193,Paper Shop,"('59.7933155,30.3309104', '13:56')",Штаны,Simone Rocha,4279571424554541,33,4000
194,Fab Store,"('59.9302169,30.3246437', '11:30')",Плавки,Mary Katrantzou,4274880412210920,52,101
195,Спутник,"('59.9189277,30.346303', '12:43')",Маскара,CeraVe,4276997140230832,66,600
196,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Sonny,5189331623658789,44,14400
197,PiterGSM,"('59.9323949,30.3661284', '11:54')",Ноутбук,BitFenix,4274804366566621,88,32499
198,Отдел,"('60.04797585,30.26449915', '13:07')",Шапка,Reiss,5106748296334135,66,405
199,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Шампунь,Kiehl's,5106715661587306,12,299
200,DNS,"('59.8835274,30.370143', '10:22')",Кондиционер,Kenwood,5106604090563313,19,30500
201,Fab Store,"('59.9302169,30.3246437', '11:30')",Футболка,Scotch & Soda,4272236277414372,26,3001
202,Эльдорадо,"('59.94584125,30.480875', '16:34')",Кондиционер,OnePlus,4276408812423418,50,53999
203,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Румяна,Milani,5189623158938381,84,300
204,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,Fitbit,5106337889093285,75,20101
205,Технопарк,"('59.90775075,30.32520831', '21:03')",Кондиционер,EVGA,4272183878787587,52,57100
206,PiterGSM,"('59.9323949,30.3661284', '11:54')",Ноутбук,Aurora,4274698974941731,90,29400
207,Гум,"('59.9937587,30.1931236', '19:11')",Перчатки,3.1 Phillip Lim,4279754747502227,5,100
208,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,Bosch,4274400401226241,19,22295
209,PiterGSM,"('59.9323949,30.3661284', '11:54')",Плеер и аудиотехника,Event,4274250631446063,42,4605
210,Спортмастер,"('59.9128513,30.446262', '20:56')",Шляпа,Vetements,5106525067421043,50,400
211,Отдел,"('60.04797585,30.26449915', '13:07')",Рубашка,Balmain,4274878869681747,28,1600
212,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Лосьон,bareMinerals,4279559764156058,27,295
213,Рив Гош,"('59.990724,30.2053798', '19:44')",Тушь,Makeup Geek,5106830908570134,74,100
214,Технопарк,"('59.90775075,30.32520831', '21:03')",Плеер и аудиотехника,Asus,5106435829749138,32,8399
215,Котофото,"('59.9252998,30.3170072', '16:42')",Фотокамера,Evergreen,4272631936711997,83,901
216,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,HTC,4279517775194982,43,15505
217,123.ru,"('59.90625125,29.70726325', '17:26')",Холодильник,Gislaved,4279485427401927,46,24800
218,Отдел,"('60.04797585,30.26449915', '13:07')",Костюм,Milly,4272818951530174,89,19601
219,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,ColourPop,5469829142554738,38,500
220,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Основа,L'Oreal Paris,4274538182496067,7,1495
221,SMEG,"('59.9547305,30.3265232', '16:24')",Микроволновая печь,Fractal Design,4274221094672854,8,11801
222,DNS,"('59.8835274,30.370143', '10:22')",Холодильник,Whirlpool,4274517423753258,68,118701
223,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,Indesit,5106617492028100,7,2499
224,Citilink mini,"('60.0474289,30.3748429', '10:37')",Микроволновая печь,Noctua,5469799274175533,37,14500
225,Gate31,"('59.9307242,30.345161', '18:45')",Свитер,Kenzo,4272304186394632,83,1000
226,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Линер,Kiko Milano,4279125092822864,72,300
227,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Румяна,Marc Jacobs Beauty,5106166271361718,35,200
228,Stokmann,"('59.9325138,30.3597223', '17:57')",Джинсы,Superdry,4272801020553145,79,795
229,Эльдорадо,"('59.94584125,30.480875', '16:34')",Монитор,Fuzion,5106555611486807,34,9595
230,Подружка,"('59.9604693,30.3164542', '20:09')",Пудра,Glossier,4272856508683708,37,1101
231,Рив Гош,"('59.990724,30.2053798', '19:44')",Консилер,Makeup Forever,4279891278013887,46,601
232,Рив Гош,"('59.990724,30.2053798', '19:44')",Тональник,Murad,5106823609869608,26,3100
233,Code7,"('59.9595411,30.3145212', '11:19')",Рубашка,FRAME,4279254966688842,48,2699
234,Спортмастер,"('59.9128513,30.446262', '20:56')",Шапка,Joules,5469517706964230,49,501
235,Gate31,"('59.9307242,30.345161', '18:45')",Бикини,Prabal Gurung,4272825778344834,94,700
236,Gate31,"('59.9307242,30.345161', '18:45')",Бикини,Mary Katrantzou,5106475800763166,22,1399
237,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Основа,Tom Ford Beauty,5106665889290606,24,1595
238,Stokmann,"('59.9325138,30.3597223', '17:57')",Ветровка,Ghost,4279803595399536,10,6399
239,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Гель,CeraVe,5106280519975599,58,595
240,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Линер,Marc Jacobs Beauty,5106573721896291,43,100
241,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Гель,Glossier,5106383848330898,56,801
242,Citilink,"('59.9992825,30.3597408', '19:16')",Пылесос,EVGA,5106678637698492,38,9401
243,Отдел,"('60.04797585,30.26449915', '13:07')",Жилет,Rebecca Minkoff,5469227319645761,58,900
244,SMEG,"('59.9547305,30.3265232', '16:24')",Кондиционер,Braun,5106268121463342,67,78495
245,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Помада,Eucerin,4276536137004206,39,999
246,Paper Shop,"('59.7933155,30.3309104', '13:56')",Джинсы,Moschino,4272168543353351,61,7401
247,Fab Store,"('59.9302169,30.3246437', '11:30')",Джинсы,Maje,5106418413509909,38,4999
248,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тональник,Becca Cosmetics,4272755272664470,35,300
249,DNS,"('59.8835274,30.370143', '10:22')",Гарнитура,Falken,5106338274544400,67,6799
250,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Лосьон,Marc Jacobs Beauty,5106451751312561,63,200
251,123.ru,"('59.90625125,29.70726325', '17:26')",Монитор,Indesit,5106711342226357,82,26405
252,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,GT Radial,4273495167010816,50,9901
253,Подружка,"('59.9604693,30.3164542', '20:09')",Румяна,Smashbox,5106443653825277,97,1499
254,Спортмастер,"('59.9128513,30.446262', '20:56')",Костюм,Reiss,4274956264987396,81,3905
255,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Rick Owens,4279190281337210,28,1799
256,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,AmorePacific,5106465335026152,81,7199
257,Котофото,"('59.9252998,30.3170072', '16:42')",Стиральная машина,Bridgestone,5469510958834450,80,43799
258,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,La Mer,5106651799317052,52,901
259,Code7,"('59.9595411,30.3145212', '11:19')",Шапка,Celine,4276927976749635,67,2701
260,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Крем,Estée Lauder,5106970524188995,92,100
261,Котофото,"('59.9252998,30.3170072', '16:42')",Монитор,Bosch,5106916982788235,93,8695
262,Code7,"('59.9595411,30.3145212', '11:19')",Шарф,Finery,4274459514202368,62,1200
263,Гум,"('59.9937587,30.1931236', '19:11')",Блузка,Oasis,4274632170957018,23,1805
264,PiterGSM,"('59.9323949,30.3661284', '11:54')",Монитор,Cooler Master,4274424435984928,22,5405
265,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Линер,Glossier,5106161533422878,24,1105
266,Code7,"('59.9595411,30.3145212', '11:19')",Пальто,DL1961,5106739480275960,61,1901
